name,gender,attributes,colour,price,category,desc
Textured Satin Boned Lace Up Corset,female,100% Polyester. Machine Washable. Model Wears UK Size 10.,oyster,£22.00,TOPS,"Calling all trend-obsessed: category is… regency vibes. This waist-defining corset top shapes and contours the body, accentuating the bust and creating a snatched silhouette. With strappy tops that’ll look fire with that perfect pair of jeans, blouses that’ll turn heads in the office, and bustiers that are just waiting to be matched with some hot leather look trousers, it will be love at first scroll when you lay eyes upon our collection of corset tops."
Platform Cosy Boots,female,Upper: synthetic suede Lining: synthetic material Outer: synthetic materials,chestnut,£22.50,SHOES,"A boot that reaches above the ankle, we love ankle boots for their versatility and comfort and this pair is no exception. Perfect for spring and autumn, they take you right through the seasons, as well as from work-to-bar thanks to their sleek finish. Put your best foot forward with this pair from our latest arrivals of women's ankle boots. A shoe-drobe essential with a relaxed feel, wear them with everything from dresses to jeans."
World Tour Graphic Printed Oversized T-shirt,female,NA,black,£10.00,TOPS,"A low-key style we high-key love, the oversized t-shirt is a must-have in every wardrobe. Featuring a loose and baggy fit perfect for off-duty days, an oversized t-shirt is a year-round staple. Spend your weekends in a comfy oversized top; just team with cycling shorts and white trainers for last minute errands. If statement is more your style, we’ve got extreme V front oversized shirts that perfectly pair with your fave jeans. Whatever your vibe, the oversized shirt will make sure you come out on top."
Petite Oversized Sweatshirt Tracksuit,female,"50% Cotton, 50% Polyester. Machine Wash. Model Wears Size S.",stone,£30.00,TRACKSUITS,"Make ill-fitting clothing a thing of the past with this dreamy petite tracksuit. Designed for queens 5’3’’ and under, these pieces are cut slightly shorter to fit you like a dream. Whether you need to up your street style game or you’re still rocking that WFH vibe, we’ve got petite tracksuit sets and half-zip designs in pale pinks, tie-dyes and neutral tones. Just pair with chunky trainers or sliders and you’re ready to go."
Oversized Cotton Poplin Shirt,female,100% Cotton. Machine Wash. Model wears UK size 10.,white,£11.25,SHIRTS,"Nail the basics this season with a shirt from our latest collection. Featuring a classic collar, button detailing and a tailored fit, this one can be dressed up or down depending on your vibe. From boardroom looks to lazy brunches, when the weekend calls, throw on and go with a long sleeve shirt over a classic roll neck. Just add a pair of white trainers and your casual uniform is sorted. Want to stay fresh all day long? Throw on a staple white shirt with your most coveted denim."
Oversized Drawstring Hem Hoodie,female,NA,black,£25.00,OVERSIZED HOODIES,"Just chilling? Do it right with an oversized hoodie. Featuring extra room for maximum comfort, we’ve got big love for the baggy hoodie and we know you will too with this fresh drop. We’re serving up slogan, graphic and tie dye styles along with classic colour block looks. Perfect for layering, throw on a women's oversized hoodie over a crop top or a basic tee for all the cosy vibes, or team with matching joggers for the perfect off-duty look."
Oversized Midaxi Trench Coat,female,NA,stone,£50.00,COATS & JACKETS,"For a look that's as timeless as they come, you can't go wrong with the classic trench coat. We love its loose fit, double-breasted design - it's perfect for throwing on over jeans and your favourite knit. A tailored fit that's snug at the waist, a women's trench coat is the ideal trans-seasonal piece to keep out the rain. We're pairing ours with heeled boots and culottes for a head to toe refresh. Longline, elegant and featuring wide lapels, what's not to love about this flattering cover-up?"
Maternity Dsgn Studio Half Zip Sweatshirt,female,NA,ecru,£18.75,SUSTAINABILITY,"Comfy maternity hoodies and sweatshirts are the ultimate pregnancy wardrobe staple, and this one is no exception, baby-mama! Designed with a little extra room to fit comfortably over your bump, throw this piece on for ultimate effortless style. From oversized maternity hoodies to maternity sweaters, we’ve got you. Upgrade your summer looks by teaming with cycling shorts and chunky trainers, or keep it casual with some over-the-bump skinny jeans. This is your new go-to, girl! Who said pregnant mama’s have to compromise on style?!"
Box Pleated Micro Mini Skirt,female,50% Cotton 50% Polyester. Wash with similar colours. Model wears size 10.,stone,£15.00,SKIRTS,"Pleats are always a good idea! Cut near the waist for a super complimentary fit, a pleated skirt is the ultimate addition to your new-season wardrobe. Whether you choose to channel sporty spice vibes with a pleated tennis skirt or go for a casual-sophis look with a pleated midi skirt, this style is a guaranteed wardrobe essential. Pair with a cute crop, chunky trainers and ankle socks and get ready to cause a storm."
Floral Asymmetric Micro Mini Dress,female,NA,pink,£22.00,DRESSES,"Embrace your femininity with this floral dress from our latest collection. Complete with a bold floral print that's sure to make you stand out from the crowd this season, this style is bold, feminine, and the perfect addition to your warm weather wardrobe. From floral midi dresses to maxi styles, just pair with barely-there heels and your go-to look is sorted. If you’re keeping things casual, swap out the heels for flat sandals and you’re good to go. Versatility points = secured."
"Crinkle Short Sleeved Shirt, Shorts & Scrunchie Set",female,100% Viscose. Machine washable. Model wears size 10.,bright green,£25.00,SHORTS CO-ORDS,"Serve up some serious style points with this short co-ord set. An easy outfit to throw together, these shorts and matching top can be dressed up or down. Pair a blazer co-ord set with some strappy heels for a more formal look, or complete that jersey co-ord with some chunky kicks. Add some colour or print to your wardrobe with this matching set. We’ve got the year-round look for every occasion."
Basic Roll Neck Crop Jumper,female,100% acrylic. Machine wash. Model wears UK size M.,ivory,£15.00,KNITWEAR,"Seeking a pullover jumper that brings super flattering vibes? Look no further than this cute cropped jumper. With the hem cut at or above the waist, this type of short jumper usually comes with long sleeves for maximum style impact and extra warmth. Helping to nip you in at the waist and create an hourglass silhouette, it's a look that will serve attitude over and over again. We wear ours with high waisted denim, slick faux leather trousers and bold animal print skirts for a style that breaks the mould."
Floral Long Sleeve Ruffle Dress,female,NA,pink,£40.00,DRESSES,"Colder days are incoming. Layer up this season with a long sleeve dress to embrace cold weather days. Complete with a full sleeve extending from shoulder to arm, this style is perfect for winter styling. Comfortable, warm, and the perfect addition to your winter wardrobe, choose a long sleeve maxi dress for formal events or opt for a long sleeve midi dress for off-duty plans. Team this one with chunky boots or statement heels…we're talking maximum impact, minimal effort."
Plus Floral Dobby Mesh Shirred Waist Maxi Dress,female,100% Polyester. Machine Wash. Model wears UK size 16.,pink,£28.00,PLUS SIZE DRESSES,"A longline style that lengthens your silhouette and skims your curves for a super flattering look, create the fit you've been dreaming of this season with this plus size maxi dress. A versatile piece you can dress up with heels or keep casual with sliders, plus size long dresses are a wardrobe saviour when you don't know what to wear. Updated for the new season with floral prints, as well as some jersey pieces to keep your lounge style on lock, invest in a plus size floor length dress (it will look good on you)."
Hooded Sweat Midi Dress,female,NA,grey marl,£18.00,DRESSES,"Shaped like your go-to sweatshirt but in a longer design, this cosy sweatshirt dress is the perfect choice for casual wear. Smooth in finish and soft to touch, this hoodie dress is effortless fashion done right. Team this weekend essential with some chunky trainers or statement boots, and you’re ready to hit the streets. Athleisurewear is hot right now, making the sweater dress a must-have addition to any girl’s wardrobe. Oversized, split, zipped or pocketed, however you wear yours we’re all for it."
Satin Cowl Neck Midi Dress,female,NA,hot pink,£25.00,DRESSES,"Say yes to 90s nostalgia and add an iconic cowl neck dress to your occasion wear collection. Designed with a loose draped fabric around the neckline that falls below the collarbone, a cowl neck dress is a flattering style that skims over curves to create an unreal silhouette. Make a statement in a bold cowl neck maxi or show off those legs in a strappy mini style. Cause a storm in a sophisticated black cowl neck dress or for those more low-key events, opt for a cute floral print. Easy wearing and a chic style, what's not to love?"
Dsgn Studio Circle Slogan Oversized Hoodie,female,NA,lilac,£13.50,TOPS,"Just chilling? Do it right with an oversized hoodie. Featuring extra room for maximum comfort, we’ve got big love for the baggy hoodie and we know you will too with this fresh drop. We’re serving up slogan, graphic and tie dye styles along with classic colour block looks. Perfect for layering, throw on a women's oversized hoodie over a crop top or a basic tee for all the cosy vibes, or team with matching joggers for the perfect off-duty look."
Pull Cord Waist Baggy Parachute Pants,female,NA,khaki,£25.00,TROUSERS,"Stay on trend this season and invest in a pair of cargo trousers. Want a look that’s comfortable yet flattering with that stunning cinched waist look? Combat trousers are the way to go. Bring a new energy to your wardrobe with these khaki military-inspired trousers; complete with pocket detailing, these loosely cut trousers are cuffed at the ankle and are bridging the gap between comfy and cool. Don't check out without adding these cargo pants to your basket."
Oversized Ruched Side Midi Jumper Dress,female,NA,pink,£18.00,DRESSES,"Calling all style queens: knitted dresses are everywhere this season, and this one is no exception. A key-trend piece which is comfy, soft, and endlessly versatile, the temperatures don’t have to be in the minus’ to rock this style. With long sleeve styles to keep you warm in winter and halter neck options for summer, a knitted dress is not only a big hitter for winter. Pair a jumper dress with chunky boots or box-fresh trainers (depending on the season) and you’re good to go!"
Slogan Embroidered Hooded Tracksuit,female,"57% Recycled Polyester, 43% Cotton. Machine Wash. Model wears UK size M.",sage,£22.50,SUSTAINABILITY,"This tracksuit is perfect for a head to toe refresh. Complete with matching hoodie and joggers, it's about to become your ultimate winter fit (just wear it with your go-to trainers). We've come through with our latest collection of  women's tracksuits girl, go take a look."
Roll Neck Longline Stripe Jumper,female,100% acrylic. Machine wash. Model wears UK size M.,white,£18.00,KNITWEAR,"It's the season to feel snug and what better way than with this oversized jumper. Bigger than your usual size which elongates your silhouette, our women's oversized jumpers are cosy and comfortable for your autumn and winter wardrobe. Perfect for whatever plans you've got coming up, make a satin slip dress a little more casual with an oversized rib knit thrown on and banish those winter blues by stepping into a cable knit baggy jumper over leggings and ribbed socks. Warm and cosy is the vibe this season."
Pull Cord Waist Parachute Mini Skirt,female,NA,khaki,£15.00,SKIRTS,"Show off those pins with a mini skirt from boohoo. Sitting mid-thigh and well above the knee, a super short skirt is the perfect way to bring the heat this season. Sexy, sassy, and seriously statement making, we’re talking mini skirt…maximum impact. From pleated mini skirts in tartan prints to denim short skirts with distressed detailing, we’ve got you covered (even if your skirt doesn’t). Pair this one with some chunky boots and a crop top and you’re ready to go."
Beverly Hills Slogan Oversized Sweater,female,NA,light blue,£11.25,TOPS,"Street styling is made easier with this soft sweatshirt from our latest arrivals. Cut to a slouchy fit that's comfortable and warm, this sweater has long-sleeves and a collarless pullover design. Perfect for layering, wear this with your go-to joggers or jeans. Refresh your everyday fits with oversized, half zip and tie dye styles from our full  women's sweatshirts collection."
Check Shacket,female,NA,lilac,£35.00,COATS & JACKETS,"Hit refresh on your casual wardrobe with a versatile shacket. Thinner than a typical lightweight jacket but thicker than a shirt, this outerwear is perfect for warmer or cooler weather or those in-between season plans. From printed and pastel options to camos and checks, this durable trans-seasonal piece ticks all the boxes. Try a belted shacket for a classic silhouette over your fave faux leather trousers. Want to step into something slightly oversized? The humble shirt jacket offers a loose relaxed shape perfect for layering. Pair yours with a plain crop, cycling shorts and fresh white trainers. It's a whole vibe."
High Waisted Disco Denim Skirt,female,"51% cotton, 33% polyester, 15% viscose, 1% elastane. Machine wash. Model wears UK size 10.",Select,£12.00,DENIM SKIRTS,"Show off those pins with a mini skirt from boohoo. Sitting mid-thigh and well above the knee, a super short skirt is the perfect way to bring the heat this season. Sexy, sassy, and seriously statement making, we’re talking mini skirt…maximum impact. From pleated mini skirts in tartan prints to denim short skirts with distressed detailing, we’ve got you covered (even if your skirt doesn’t). Pair this one with some chunky boots and a crop top and you’re ready to go."
Angel Sleeve Floral Corset Top,female,NA,pink,£20.00,NEW IN,"Featuring cute florals for a feminine touch, whoever said a floral top was only for spring obviously hasn’t seen our year-round flowery styles. Whether it's a ditsy floral top or bold floral blouse, there’s no shortage of flower print tops to choose from. Pop on a pretty pastel floral top with light-wash jeans and sandals for a springtime favourite or dare to be bold with a dark floral shirt, paperbag trousers and heels for dinner and drinks."
Mid Waist Flared Jeans,female,"75% cotton, 24% polyester, 1% elastane. Machine wash. Model wears UK size 10.",light wash,£15.00,JEANS,"Not into skinny’s? The ‘70s throwback classic flare jean is the perfect choice for an effortlessly vintage look (consider your weekend uniform sorted). Styled with statement heels or chunky boots, you’ll look fire wherever you are in these new era bell bottom jeans. Worn best with your go-to tees and oversized jackets, the high waisted flare jean in durable stretch denim is flattering in all the right places. Whatever your style, we have a flared silhouette for you to upgrade your jeans collection."
Belted Wide Leg Palazzo Jeans,female,100% cotton. Machine wash. Model wears UK size 10.,black,£22.50,JEANS,"Perfect for a new season update, the wide leg jean is your chance to make an effortless fashion statement when it comes to denim-led outfits. Anything but basic, our high waisted wide leg jeans are made from rigid denim, making them the perfect quality jean for day-to-day ‘fits. Step out in retro-inspired wide jeans teamed with a basic white tee and oversized blazer for a look that brings vibes to all your plans. You in a wide leg… we can see it already."
Floral Wrap Detail Mini Skater Dress,female,100% Polyester. Model wears UK size 10.,pink,£30.00,DRESSES,"Versatile, chic, and always effortless, wrap dresses are the wardrobe essential you don’t wanna sleep on this season, and this style is no exception. With a wrap design secured with tie detailing, this one is giving us all the vibes. Pair with cute sandals for off-duty days or opt for barely-there heels for Saturday night plans. From midi wrap dresses to maxi styles, we’ve got something for everyone. Take it to daytime with our soft jersey numbers or check out our satin wrap dresses for a going out look with extra attitude."
High Waisted Stretch Denim Midi Skirt,female,"51% cotton, 33% polyester, 15% viscose, 1% elastane. Machine wash. Model wears UK size 10.",light wash,£15.00,DENIM SKIRTS,"Wanna bring the heat? Look fire from the ground up in this flattering midi skirt. Sitting midway down the calf and skimming your hips for a flattering fit, mid-length skirts are the wardrobe hero you need in your life this season. This on-trend piece is your go-to style for versatility, and is renowned for its complimentary fit. Just pair with trainers for the perfect casual look, or swap out your flats for heels and your Saturday night glam is sorted."
Oversized Stripe Jumper,female,100% acrylic. Machine wash. Model wears UK size M.,black,£15.00,KNITWEAR,"It's the season to feel snug and what better way than with this oversized jumper. Bigger than your usual size which elongates your silhouette, our women's oversized jumpers are cosy and comfortable for your autumn and winter wardrobe. Perfect for whatever plans you've got coming up, make a satin slip dress a little more casual with an oversized rib knit thrown on and banish those winter blues by stepping into a cable knit baggy jumper over leggings and ribbed socks. Warm and cosy is the vibe this season."
Text Print Hoodie And Legging Set,female,"70% Cotton, 30% Polyester. Machine Wash. Model wears UK size M.",stone,£30.00,TRACKSUITS,"This tracksuit is perfect for a head to toe refresh. Complete with matching hoodie and joggers, it's about to become your ultimate winter fit (just wear it with your go-to trainers). We've come through with our latest collection of  women's tracksuits girl, go take a look."
White Oversized Crew Neck Basic Cotton Tshirt,female,100% COTTON. MACHINE WASHABLE. MODEL WEARS A UK SIZE 10.,white,£10.00,OVERSIZED T SHIRTS,"A low-key style we high-key love, the oversized t-shirt is a must-have in every wardrobe. Featuring a loose and baggy fit perfect for off-duty days, an oversized t-shirt is a year-round staple. Spend your weekends in a comfy oversized top; just team with cycling shorts and white trainers for last minute errands. If statement is more your style, we’ve got extreme V front oversized shirts that perfectly pair with your fave jeans. Whatever your vibe, the oversized shirt will make sure you come out on top."
High Waisted Metallic Full Length Trousers,female,Coating: 100% Polyurethane. Backing: 100% Polyester. Wash with similar colours. Model wears size10.,silver,£30.00,TROUSERS,"Want leather look trousers without compromising your values? We got you. These faux leather trousers are the best of both worlds; an animal conscious alternative to real leather made entirely or for the most part with vegan leather, but with that same thick and stretchy material that perfectly contours the shape of your body. These leather-look trousers are versatile, perfect for casual, comfortable wear - but also super easy to dress up and serve looks in the club."
Black Dobby Mesh Sweetheart Neck Bodysuit,female,NA,black,£15.00,NEW IN,"An all-in-one garment featuring a sheer, next-to-naked fabric that's sexy, figure flaunting, and seriously statement making, it’s time to give your out-out wardrobe a reboot with a trending mesh bodysuit. Cause a storm in a black mesh bodysuit paired with high waisted faux leather trousers and killer boots, or turn up the heat with a sheer mesh bodysuit to keep all eyes on you. From see-through options to mesh panelling, we can’t wait to see you work it in this must-have piece."
Leopard Print Chainmail Crop Top,female,100% METAL. MACHINE WASHABLE. MODEL WEARS A UK SIZE 10.,brown,£25.00,TOPS,"A versatile wardrobe staple which no wardrobe is complete without, step up your fashion game this season with a must-have crop top. Exposing the midriff and giving the illusion of longer legs, crop tops are the ideal match for skirts, jeans, and everything in-between. Our crop tops collection includes cool cropped slogan tees, festival-ready crochet pieces, intricate bead embellishments and figure-flattering ribbed textures. A classic 90s favourite, you can't go wrong with a stylish crop top."
Belted Western Denim Micro Mini Shirt Dress,female,"73% cotton, 18% polyester, 9% viscose. Machine wash. Model wears UK size 10.",mid wash,£30.00,DENIM,"Forget your jeans – update your wardrobe this season with this denim dress. Comprised of a durable yet firm denim that nails effortless glam, this style is structured yet casual, and versatile for all seasons. Whether you’re out shopping or on a picnic date, we’re talking minimum effort, maximum impact. Choose from classic navy denim styles or mix things up in new-season colourways, depending on your vibe. Team with heeled sandals for PM plans or keep things casual with chunky trainers and ankle socks."
Black Petite V Front Chiffon Sleeve Cuffed Bodysuit,female,95% Polyester 5% Elastane. Machine Wash. Model Wears Size 10.,black,£13.50,PETITE TOPS,"Gain some serious style points this season in this petite top. Cut shorter to ensure the perfect fit, our tops for petite women are designed for queens 5’3’’ and below. From petite t-shirts to petite blouses, we’ve got all the new-season styles you need in your wardrobe. Feeling casual? Dress it down with a pair of straight leg jeans and chunky trainers. If out out is more your vibe, team with some distressed hem shorts and killer heels for a major style statement."
Diamante Flower Chainmail Top,female,100% METAL. MACHINE WASHABLE. MODEL WEARS A UK SIZE 10.,black,£25.00,TOPS,"A versatile wardrobe staple which no wardrobe is complete without, step up your fashion game this season with a must-have crop top. Exposing the midriff and giving the illusion of longer legs, crop tops are the ideal match for skirts, jeans, and everything in-between. Our crop tops collection includes cool cropped slogan tees, festival-ready crochet pieces, intricate bead embellishments and figure-flattering ribbed textures. A classic 90s favourite, you can't go wrong with a stylish crop top."
SCHWARZKOPF GOT2B 300ML GLUED BLASTING FREEZE SPRAY,female,NA,multi,£4.00,HAIRCARE,"Look after your locks with this latest product from our haircare range. From nourishing shampoos to leave in conditioners, our hair products are the perfect add-to-basket treat. Pick up a heat protector spray or repair cream to keep your ends moisturised. Packed with some of the best haircare brands around, from Beauty Works to Garnier, our haircare collection has it all."
Plus Cotton Short Sleeve T-shirt Dress,female,"50% Cotton, 50% Polyester, Model wears UK size 16, Machine Washable",stone,£12.00,PLUS SIZE DRESSES,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
Wardrobe Essentials Puff Print Sweatshirt Tracksuit,female,NA,charcoal,£30.00,TRACKSUITS,"This tracksuit is perfect for a head to toe refresh. Complete with matching hoodie and joggers, it's about to become your ultimate winter fit (just wear it with your go-to trainers). We've come through with our latest collection of  women's tracksuits girl, go take a look."
Plus Basic Extreme Oversized Sweat Dress,female,"80% Cotton,20% Polyester, Model wears UK size 16, Machine Washable",ash grey,£16.50,SUSTAINABILITY,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
Dobby Ruffle Smock Dress,female,100% Polyester. Model wears size 10,blush,£15.00,DRESSES,"Hit refresh on your dress collection with a new-in smock dress. The much-loved 1920s style is back for the new season, with its breezy silhouette and frill detailing. The midi smock dress is the perfect transitional piece that looks unreal every season. Go from the office to out-out in a black smock dress, pair it with some killer heels and you’re good to go. Spend your summer days in a dreamy tiered smock dress - the floaty, free-moving fabric is perfect for staying cool. From feminine florals to statement prints, this loose-fitting dress is just what you need."
Plus Floral Dobby Mesh Smock Top,female,100% Polyester. Machine Wash. Model wears UK size 16.,pink,£13.50,PLUS SIZE TOPS,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
